"pred","se"
"1",24735.7913267914,10541.0822573736
"2",23902.4845377324,10635.3020444897
"3",23079.333768624,10725.54565425
"4",22346.4510854917,10799.7858075311
"5",21693.9375395017,10861.2117944337
"6",21112.9797170565,10912.3284370089
"7",20595.7306981901,10955.1145490205
"8",20135.2040692653,10991.1413249062
"9",19725.1795584142,11021.6619072857
"10",19360.1190191547,11047.6798429487
"11",19035.0916273829,11070.0018410337
"12",18745.7072813885,11089.2787137325
